index ,restaurant_id ,list_position ,total_available_restaurants ,estimate_delivery_time ,menu_category   ,star_rating ,purchasers
19499,68,19,26,35,indian          ,          1 ,42
5515,899,9,29,20,italian         ,            ,49
5461,2964,2,11,20,american        ,          4 ,40
2868,1993,10,14,25,indian          ,            ,45
26403,25,49,50,45,indian          ,            ,54
27039,1200,2,19,10,american        ,          4 ,56
6888,30,27,27,45,indian          ,            ,60
3097,2597,6,8,30,indian          ,            ,112
9595,1094,2,4,25,american        ,          3 ,70
24370,2877,26,29,40,italian         ,            ,42
20304,1791,3,36,10,turkish         ,          5 ,56
24729,2392,19,39,10,italian         ,          5 ,35
11388,1418,8,10,25,italian         ,            ,56
11254,2249,6,46,10,italian         ,          5 ,45
1184,1125,10,31,10,italian         ,          4 ,42
6378,2556,7,54,25,pizza           ,          4 ,36
24092,2632,2,5,30,pizza           ,          5 ,72
16696,777,1,11,20,american        ,          5 ,49
4982,566,24,25,30,italian         ,            ,30
27685,2304,4,13,10,japanese        ,          4 ,54
4449,2769,57,60,45,pizza           ,            ,63
5926,1016,3,12,20,japanese        ,          5 ,35
26294,2567,0,0,45,italian         ,            ,40
1348,308,8,9,15,american        ,            ,56
15634,1112,2,4,20,italian         ,          2 ,30
21709,2503,5,46,10,asian           ,          5 ,54
12069,573,20,21,15,european        ,            ,35
1835,1707,28,63,35,vegetarian      ,          3 ,36
23202,1090,24,35,15,indian          ,            ,35
7553,700,0,9,20,american        ,          5 ,88
7511,1217,2,18,10,american        ,          4 ,49
8102,131,61,65,35,indian          ,            ,72
28146,158,13,20,25,italian         ,            ,42
25208,2376,1,31,30,american        ,          5 ,84
18246,136,34,35,20,american        ,            ,36
22748,2922,20,20,15,italian         ,            ,72
5392,2160,1,8,15,asian           ,          4 ,35
10978,2794,14,19,20,indian          ,            ,54
20039,1357,5,46,10,american        ,          5 ,35
22942,2373,7,10,20,italian         ,            ,72
14172,381,2,4,10,italian         ,          4 ,36
8892,231,14,22,20,italian         ,            ,45
7500,2816,6,16,10,thai            ,            ,42
11431,473,25,29,45,american        ,          5 ,54
14182,915,0,14,15,mexican         ,          4 ,36
8461,2572,3,14,30,thai            ,            ,30
21087,2036,9,28,15,american        ,          5 ,30
22443,1097,12,20,15,italian         ,            ,80
4166,1888,0,20,15,american        ,          4 ,63
151,718,2,13,10,japanese        ,          5 ,35
4703,1396,28,41,20,italian         ,          4 ,80
7113,1796,1,8,10,american        ,          4 ,45
24231,2955,8,10,20,european        ,          5 ,36
22992,190,22,23,40,indian          ,            ,42
5502,1523,8,18,15,indian          ,          4 ,42
17821,1002,11,32,10,greek           ,          5 ,35
27855,1784,2,16,20,american        ,          4 ,35
14892,1029,10,35,10,italian         ,            ,48
19993,809,2,20,20,asian           ,          4 ,42
1691,1726,2,8,20,italian         ,            ,56
5980,1739,8,24,10,italian         ,            ,35
10711,1422,22,79,20,lebanese        ,          4 ,45
25534,701,22,34,30,indian          ,            ,81
24027,1365,28,51,15,indian          ,            ,30
16958,1115,7,10,15,italian         ,          5 ,54
19302,912,10,18,10,american        ,          5 ,40
19231,2853,1,10,15,thai            ,          5 ,40
11439,2600,30,37,35,italian         ,            ,108
10864,2503,4,36,20,asian           ,          5 ,42
22685,154,24,28,30,indian          ,          4 ,45
4187,1788,47,52,15,indian          ,            ,42
20761,391,21,22,30,turkish         ,            ,72
14193,1452,15,24,20,italian         ,            ,54
9357,635,4,20,15,american        ,          4 ,63
22285,2620,16,26,25,italian         ,            ,42
9813,2235,6,7,25,indian          ,            ,42
7224,2065,8,10,20,american        ,          3 ,64
20124,201,25,42,20,pizza           ,          4 ,45
3602,1002,10,29,10,greek           ,          5 ,81
17912,1138,2,27,10,mexican         ,          5 ,80
15025,1115,4,6,20,italian         ,          5 ,45
14401,2807,11,29,35,italian         ,            ,77
24654,438,23,26,10,italian         ,            ,88
2636,327,11,12,25,american        ,            ,30
7756,2395,6,10,20,italian         ,          4 ,63
24328,2957,15,20,25,indian          ,            ,35
14945,2602,12,15,20,indian          ,          4 ,54
14145,1062,14,69,20,thai            ,          4 ,45
12748,2728,18,30,20,american        ,          4 ,36
